,Joana,João,Mariana
ter,27,26,20
haver,15,28,10
trabalhar,1,15,7
tínhamos,2,14,5
gostar,13,2,6
ir,13,3,5
ficar,7,7,5
fazer,2,12,4
viver,2,13,0
querer,0,3,12
