,Joana,João,Mariana
ter,50,52,25
fazer,23,20,23
haver,12,23,7
ir,25,9,7
ser,10,7,7
tínhamos,2,14,5
trabalhar,1,13,7
saber,7,7,5
ficar,7,5,5
gostar,12,2,3
